semana_inicio,categoria,unidades,ingresos_total,total_neto_sum,ticket_promedio,n_disenos_unicos,n_estados,anio,mes,semana_iso,anio_semana,temporada,tiene_evento_semana,es_resolucion_ano_nuevo,semanas_desde_inicio,lag_1w,lag_2w,lag_3w,lag_4w,rolling_mean_2w,rolling_std_2w,rolling_mean_4w,rolling_std_4w,rolling_max_4w,cambio_semanal,cambio_pct,ventas_acumuladas,cat_Basketball,cat_Casual,cat_Futbol,cat_Gym,cat_Movies,cat_Musica,cat_Sports,cat_Tenis,temp_invierno,temp_otono,temp_primavera,target
2025-11-17,Musica,0,0.0,0.0,0.0,0.0,0.0,2025,11,47,2025-W47,otono,1,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0
2025-11-24,Musica,0,0.0,0.0,0.0,0.0,0.0,2025,11,48,2025-W48,otono,1,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0
2025-12-01,Musica,0,0.0,0.0,0.0,0.0,0.0,2025,12,49,2025-W49,invierno,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2025-12-08,Musica,0,0.0,0.0,0.0,0.0,0.0,2025,12,50,2025-W50,invierno,1,0,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2025-12-15,Musica,0,0.0,0.0,0.0,0.0,0.0,2025,12,51,2025-W51,invierno,0,0,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2025-12-22,Musica,0,0.0,0.0,0.0,0.0,0.0,2025,12,52,2025-W52,invierno,1,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2025-12-29,Musica,0,0.0,0.0,0.0,0.0,0.0,2025,12,1,2026-W01,invierno,1,0,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2026-01-05,Musica,0,0.0,0.0,0.0,0.0,0.0,2026,1,2,2026-W02,invierno,0,1,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2026-01-12,Musica,0,0.0,0.0,0.0,0.0,0.0,2026,1,3,2026-W03,invierno,0,1,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2026-01-19,Musica,0,0.0,0.0,0.0,0.0,0.0,2026,1,4,2026-W04,invierno,0,1,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2026-01-26,Musica,0,0.0,0.0,0.0,0.0,0.0,2026,1,5,2026-W05,invierno,0,1,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2026-02-02,Musica,0,0.0,0.0,0.0,0.0,0.0,2026,2,6,2026-W06,invierno,0,1,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2026-02-09,Musica,0,0.0,0.0,0.0,0.0,0.0,2026,2,7,2026-W07,invierno,1,1,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2026-02-16,Musica,0,0.0,0.0,0.0,0.0,0.0,2026,2,8,2026-W08,invierno,0,0,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2026-02-23,Musica,0,0.0,0.0,0.0,0.0,0.0,2026,2,9,2026-W09,invierno,0,0,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0
2026-03-02,Musica,2,972.0,830.0,486.0,2.0,1.0,2026,3,10,2026-W10,primavera,1,0,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0.0,2,0,0,0,0,0,1,0,0,0,0,1,2
2026-03-09,Musica,0,0.0,0.0,0.0,0.0,0.0,2026,3,11,2026-W11,primavera,0,0,21,2,0,0,0,1.0,1.4142135623730951,0.5,1.0,2.0,-2,-1.0,2,0,0,0,0,0,1,0,0,0,0,1,0
2026-03-16,Musica,0,0.0,0.0,0.0,0.0,0.0,2026,3,12,2026-W12,primavera,0,0,22,0,2,0,0,1.0,1.4142135623730951,0.5,1.0,2.0,0,0.0,2,0,0,0,0,0,1,0,0,0,0,1,0
2025-10-13,Sports,0,0.0,0.0,0.0,0.0,0.0,2025,10,42,2025-W42,otono,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2025-10-20,Sports,0,0.0,0.0,0.0,0.0,0.0,2025,10,43,2025-W43,otono,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2025-10-27,Sports,0,0.0,0.0,0.0,0.0,0.0,2025,10,44,2025-W44,otono,1,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2025-11-03,Sports,0,0.0,0.0,0.0,0.0,0.0,2025,11,45,2025-W45,otono,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2025-11-10,Sports,0,0.0,0.0,0.0,0.0,0.0,2025,11,46,2025-W46,otono,1,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2025-11-17,Sports,0,0.0,0.0,0.0,0.0,0.0,2025,11,47,2025-W47,otono,1,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2025-11-24,Sports,0,0.0,0.0,0.0,0.0,0.0,2025,11,48,2025-W48,otono,1,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2025-12-01,Sports,0,0.0,0.0,0.0,0.0,0.0,2025,12,49,2025-W49,invierno,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2025-12-08,Sports,0,0.0,0.0,0.0,0.0,0.0,2025,12,50,2025-W50,invierno,1,0,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2025-12-15,Sports,0,0.0,0.0,0.0,0.0,0.0,2025,12,51,2025-W51,invierno,0,0,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2025-12-22,Sports,0,0.0,0.0,0.0,0.0,0.0,2025,12,52,2025-W52,invierno,1,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2025-12-29,Sports,0,0.0,0.0,0.0,0.0,0.0,2025,12,1,2026-W01,invierno,1,0,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2026-01-05,Sports,0,0.0,0.0,0.0,0.0,0.0,2026,1,2,2026-W02,invierno,0,1,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2026-01-12,Sports,0,0.0,0.0,0.0,0.0,0.0,2026,1,3,2026-W03,invierno,0,1,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2026-01-19,Sports,0,0.0,0.0,0.0,0.0,0.0,2026,1,4,2026-W04,invierno,0,1,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2026-01-26,Sports,0,0.0,0.0,0.0,0.0,0.0,2026,1,5,2026-W05,invierno,0,1,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2026-02-02,Sports,0,0.0,0.0,0.0,0.0,0.0,2026,2,6,2026-W06,invierno,0,1,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2026-02-09,Sports,0,0.0,0.0,0.0,0.0,0.0,2026,2,7,2026-W07,invierno,1,1,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2026-02-16,Sports,0,0.0,0.0,0.0,0.0,0.0,2026,2,8,2026-W08,invierno,0,0,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2026-02-23,Sports,0,0.0,0.0,0.0,0.0,0.0,2026,2,9,2026-W09,invierno,0,0,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0
2026-03-02,Sports,6,2520.0,2520.0,420.0,2.0,1.0,2026,3,10,2026-W10,primavera,1,0,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,0.0,6,0,0,0,0,0,0,1,0,0,0,1,6
2026-03-09,Sports,8,2600.0,2600.0,325.0,2.0,1.0,2026,3,11,2026-W11,primavera,0,0,21,6,0,0,0,3.0,4.242640687119285,1.5,3.0,6.0,2,0.33333333333333326,14,0,0,0,0,0,0,1,0,0,0,1,8
2026-03-16,Sports,0,0.0,0.0,0.0,0.0,0.0,2026,3,12,2026-W12,primavera,0,0,22,8,6,0,0,7.0,1.4142135623730951,3.5,4.123105625617661,8.0,-8,-1.0,14,0,0,0,0,0,0,1,0,0,0,1,0
2025-10-13,Tenis,0,0.0,0.0,0.0,0.0,0.0,2025,10,42,2025-W42,otono,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0
2025-10-20,Tenis,0,0.0,0.0,0.0,0.0,0.0,2025,10,43,2025-W43,otono,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0
2025-10-27,Tenis,0,0.0,0.0,0.0,0.0,0.0,2025,10,44,2025-W44,otono,1,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0
2025-11-03,Tenis,0,0.0,0.0,0.0,0.0,0.0,2025,11,45,2025-W45,otono,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0
2025-11-10,Tenis,0,0.0,0.0,0.0,0.0,0.0,2025,11,46,2025-W46,otono,1,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0
2025-11-17,Tenis,0,0.0,0.0,0.0,0.0,0.0,2025,11,47,2025-W47,otono,1,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0
2025-11-24,Tenis,1,486.0,352.0,486.0,1.0,1.0,2025,11,48,2025-W48,otono,1,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0,0,0,0,0,0,1,0,1,0,1
2025-12-01,Tenis,0,0.0,0.0,0.0,0.0,0.0,2025,12,49,2025-W49,invierno,0,0,7,1,0,0,0,0.5,0.7071067811865476,0.25,0.5,1.0,-1,-1.0,1,0,0,0,0,0,0,0,1,1,0,0,0
2025-12-08,Tenis,0,0.0,0.0,0.0,0.0,0.0,2025,12,50,2025-W50,invierno,1,0,8,0,1,0,0,0.5,0.7071067811865476,0.25,0.5,1.0,0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0
2025-12-15,Tenis,0,0.0,0.0,0.0,0.0,0.0,2025,12,51,2025-W51,invierno,0,0,9,0,0,1,0,0.0,0.0,0.25,0.5,1.0,0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0
2025-12-22,Tenis,1,486.0,396.0,486.0,1.0,1.0,2025,12,52,2025-W52,invierno,1,0,10,0,0,0,1,0.0,0.0,0.25,0.5,1.0,1,0.0,2,0,0,0,0,0,0,0,1,1,0,0,1
2025-12-29,Tenis,0,0.0,0.0,0.0,0.0,0.0,2025,12,1,2026-W01,invierno,1,0,11,1,0,0,0,0.5,0.7071067811865476,0.25,0.5,1.0,-1,-1.0,2,0,0,0,0,0,0,0,1,1,0,0,0
2026-01-05,Tenis,0,0.0,0.0,0.0,0.0,0.0,2026,1,2,2026-W02,invierno,0,1,12,0,1,0,0,0.5,0.7071067811865476,0.25,0.5,1.0,0,0.0,2,0,0,0,0,0,0,0,1,1,0,0,0
2026-01-12,Tenis,0,0.0,0.0,0.0,0.0,0.0,2026,1,3,2026-W03,invierno,0,1,13,0,0,1,0,0.0,0.0,0.25,0.5,1.0,0,0.0,2,0,0,0,0,0,0,0,1,1,0,0,0
2026-01-19,Tenis,0,0.0,0.0,0.0,0.0,0.0,2026,1,4,2026-W04,invierno,0,1,14,0,0,0,1,0.0,0.0,0.25,0.5,1.0,0,0.0,2,0,0,0,0,0,0,0,1,1,0,0,0
2026-01-26,Tenis,1,300.0,201.0,300.0,1.0,1.0,2026,1,5,2026-W05,invierno,0,1,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,3,0,0,0,0,0,0,0,1,1,0,0,1
2026-02-02,Tenis,0,0.0,0.0,0.0,0.0,0.0,2026,2,6,2026-W06,invierno,0,1,16,1,0,0,0,0.5,0.7071067811865476,0.25,0.5,1.0,-1,-1.0,3,0,0,0,0,0,0,0,1,1,0,0,0
2026-02-09,Tenis,1,486.0,387.0,486.0,1.0,1.0,2026,2,7,2026-W07,invierno,1,1,17,0,1,0,0,0.5,0.7071067811865476,0.25,0.5,1.0,1,0.0,4,0,0,0,0,0,0,0,1,1,0,0,1
2026-02-16,Tenis,0,0.0,0.0,0.0,0.0,0.0,2026,2,8,2026-W08,invierno,0,0,18,1,0,1,0,0.5,0.7071067811865476,0.5,0.5773502691896257,1.0,-1,-1.0,4,0,0,0,0,0,0,0,1,1,0,0,0
2026-02-23,Tenis,0,0.0,0.0,0.0,0.0,0.0,2026,2,9,2026-W09,invierno,0,0,19,0,1,0,1,0.5,0.7071067811865476,0.5,0.5773502691896257,1.0,0,0.0,4,0,0,0,0,0,0,0,1,1,0,0,0
2026-03-02,Tenis,0,0.0,0.0,0.0,0.0,0.0,2026,3,10,2026-W10,primavera,1,0,20,0,0,1,0,0.0,0.0,0.25,0.5,1.0,0,0.0,4,0,0,0,0,0,0,0,1,0,0,1,0
2026-03-09,Tenis,0,0.0,0.0,0.0,0.0,0.0,2026,3,11,2026-W11,primavera,0,0,21,0,0,0,1,0.0,0.0,0.25,0.5,1.0,0,0.0,4,0,0,0,0,0,0,0,1,0,0,1,0
2026-03-16,Tenis,0,0.0,0.0,0.0,0.0,0.0,2026,3,12,2026-W12,primavera,0,0,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0,0,0,0,0,0,0,1,0,0,1,0
